source,destination,time,ms,labels_popped,truncated,routes
AFR,BN,18:00,19.673,1,0,0
MSW,SUU,13:00,14.274,2207,0,50
KFH,RPZ,12:00,8.541,1,0,0
WFD,KP,06:00,24.716,4718,0,50
JKB,KUTI,21:00,4.073,1,0,0
TELO,SVA,18:00,9.404,1,0,0
GVG,KRE,14:00,30.239,4604,0,50
TUX,TML,01:00,33.228,14244,0,50
UTL,TOI,12:00,4.934,1,0,0
BAGA,KL,13:00,7.372,1,0,0
EKM,STR,23:00,7.118,1,0,0
DQL,BSE,11:00,18.109,4193,0,50
ML,GPB,06:00,6.150,1,0,0
UDT,EKMA,19:00,6.780,1,0,0
JRPD,PGT,23:00,5.797,1,0,0
MMS,BAU,19:00,18.173,2977,0,50
MKRN,JLWC,01:00,2.371,1,0,0
KKA,BTX,17:00,6.521,1,0,0
KHRA,HPP,12:00,5.743,1,0,0
BDH,DOE,01:00,8.373,1451,0,50
GMS,BNP,02:00,10.234,2624,0,50
SOJN,GGN,11:00,10.518,1123,0,50
VDN,PIL,22:00,3.723,1,0,0
JM,GUR,06:00,11.967,1333,0,50
MHQ,HG,21:00,5.445,1,0,0
RSH,ADH,15:00,13.086,1928,0,50
SBO,TRL,22:00,7.109,1,0,0
NVS,BIM,13:00,25.827,2822,0,50
BVQ,MTC,23:00,10.162,1,0,0
TU,LPJ,18:00,35.359,12382,0,50
AII,AMI,06:00,472.287,107962,1,15
LMT,KKLU,16:00,2.292,1,0,0
PANP,PURI,17:00,11.179,1461,0,50
CUK,YLM,20:00,5.877,1,0,0
FKM,UKE,12:00,3.555,1,0,0
DHI,LMNR,21:00,5.517,1,0,0
JRTB,BJU,04:00,11.593,1301,0,50
BAY,VRG,03:00,105.317,36014,0,50
SLR,BBN,11:00,6.344,1,0,0
SJS,MRGA,01:00,10.427,1474,0,50
DDP,DVL,13:00,7.215,1,0,0
BLGR,PAU,07:00,18.998,3008,0,50
KY,BIDR,23:00,5.208,1,0,0
NPNR,MTJ,03:00,7.968,436,0,50
IDR,SLI,18:00,6.602,1,0,0
SDDN,BZG,00:00,8.194,1098,0,50
JGM,SVKS,08:00,252.378,97072,1,6
ANH,KEU,05:00,15.886,6995,0,50
RN,ANVT,11:00,131.225,40521,1,37
GVG,RSG,12:00,55.058,29628,0,50
MKA,RTP,08:00,15.328,3690,0,50
